label,trend,seasonal,hike_effect,covid_main_effect,covid_wave1_effect,covid_2021_effect,fitted,residual
2006-10-01,12.409223768856428,-0.02863309553808045,-0.0,0.0,0.0,0.0,12.380590673318348,0.009635183834749483
2006-11-01,12.40841660212571,0.04620913430205615,-0.0,0.0,0.0,0.0,12.454625736427767,-0.009610996374593839
2006-12-01,12.410926758179057,0.38058134591984394,-0.0,0.0,0.0,0.0,12.7915081040989,-0.003200285834596528
2007-01-01,12.414541529706291,-0.17390120944121007,-0.0,0.0,0.0,0.0,12.240640320265081,0.00035535505432271464
2007-02-01,12.418033658857938,-0.1209383343036598,-0.0,0.0,0.0,0.0,12.29709532455428,-0.004464321298875973
2007-03-01,12.423066694521513,-0.025565508674545136,-0.0,0.0,0.0,0.0,12.397501185846968,0.0040107679972951615
2007-04-01,12.426715392086768,-0.03335845577761476,-0.0,0.0,0.0,0.0,12.393356936309154,-0.00772487852975523
2007-05-01,12.43303040196598,-0.0833809782944938,-0.0,0.0,0.0,0.0,12.349649423671485,-0.00782285716369202
2007-06-01,12.442045541094904,-0.020993731577506593,-0.0,0.0,0.0,0.0,12.421051809517397,-0.0032646763127957
2007-07-01,12.452187515530094,0.17169149382054266,-0.0,0.0,0.0,0.0,12.623879009350636,0.048038630276414196
2007-08-01,12.445748582739622,-0.06531650340240579,-0.0,0.0,0.0,0.0,12.380432079337217,-0.011335381905071884
2007-09-01,12.443222153056098,-0.050194923444677284,-0.0,0.0,0.0,0.0,12.393027229611421,-0.018368596457733588
2007-10-01,12.447035797214665,-0.02944376066453391,-0.0,0.0,0.0,0.0,12.41759203655013,-0.0035869441944527125
2007-11-01,12.452087511078185,0.055692000548821355,-0.0,0.0,0.0,0.0,12.507779511627007,0.03512958990273418
2007-12-01,12.445013977205043,0.3735561142999717,-0.0,0.0,0.0,0.0,12.818570091505014,-0.02183159657187872
2008-01-01,12.445475800313913,-0.17509428919530476,-0.0,0.0,0.0,0.0,12.270381511118607,-0.029554844035136085
2008-02-01,12.456138720585875,-0.11183908698773891,-0.0,0.0,0.0,0.0,12.344299633598135,-0.0014521112299856753
2008-03-01,12.467302856088681,-0.03631215083224669,-0.0,0.0,0.0,0.0,12.430990705256434,-0.02243037961730643
2008-04-01,12.486209018825129,-0.031243561251177172,-0.0,0.0,0.0,0.0,12.454965457573952,0.014259603289668021
2008-05-01,12.500193367528192,-0.07893526074168221,-0.0,0.0,0.0,0.0,12.42125810678651,0.025393211139231653
2008-06-01,12.505413046435173,-0.014176197494701746,-0.0,0.0,0.0,0.0,12.49123684894047,0.010936086213604312
2008-07-01,12.506858045214024,0.16106356853090087,-0.0,0.0,0.0,0.0,12.667921613744925,0.0039960258821256645
2008-08-01,12.506923780560918,-0.06349762398510808,-0.0,0.0,0.0,0.0,12.443426156575809,-0.0007055560443323117
