model_id,model_label,model_family,rho,parameter,parameter_group,estimate,std_error,z_value,p_value,percent_conversion,percent_conversion_se
covid_decay_rho_070,COVID decay intervention (rho=0.70),covid_decay,0.7,obs_error,variance,0.0002447210760045012,3.9568369948788324e-05,6.1847651627103515,6.21949872354432e-10,,
covid_decay_rho_070,COVID decay intervention (rho=0.70),covid_decay,0.7,level_noise,variance,7.578809850363334e-05,1.8859566581764815e-05,4.018549322173306,5.855755259169952e-05,,
covid_decay_rho_070,COVID decay intervention (rho=0.70),covid_decay,0.7,slope_noise,variance,2.339851919219991e-11,1.8790261603514908e-08,0.0012452471224681076,0.9990064368033751,,
covid_decay_rho_070,COVID decay intervention (rho=0.70),covid_decay,0.7,seasonal_noise,variance,5.594900569803678e-05,1.4504239244230757e-05,3.8574243540757367,0.0001145881256408181,,
covid_decay_rho_070,COVID decay intervention (rho=0.70),covid_decay,0.7,hike_effect,event,-0.0241569958412192,0.026183528698321308,-0.9226027599086736,0.3562142568869514,-2.3867551007398227,2.555859199156045
covid_decay_rho_070,COVID decay intervention (rho=0.70),covid_decay,0.7,covid_main_effect,event,0.03822167806194285,0.014756323816340882,2.5901897069795163,0.009592305439890206,3.896152232919824,1.5331252656208125
covid_decay_rho_070,COVID decay intervention (rho=0.70),covid_decay,0.7,covid_decay_effect,event,0.005090592939553655,0.02277943093329265,0.22347322698538702,0.8231672180382256,0.5103572022187917,2.2895687399685163
covid_decay_rho_070,COVID decay intervention (rho=0.70),covid_decay,0.7,post_stat_change_effect,event,-0.04156579158577204,0.026950039784457203,-1.5423276521374238,0.12299399260683344,-4.071377969636717,2.585280180186448
covid_decay_rho_080,COVID decay intervention (rho=0.80),covid_decay,0.8,obs_error,variance,0.0002458694424049367,3.934282589033285e-05,6.249409818458177,4.120065482466494e-10,,
covid_decay_rho_080,COVID decay intervention (rho=0.80),covid_decay,0.8,level_noise,variance,7.398450595461206e-05,1.840074285172965e-05,4.020734736133633,5.8016905647901014e-05,,
covid_decay_rho_080,COVID decay intervention (rho=0.80),covid_decay,0.8,slope_noise,variance,2.482086233162255e-11,1.7868901782593368e-08,0.001389053599018676,0.9988916959356219,,
covid_decay_rho_080,COVID decay intervention (rho=0.80),covid_decay,0.8,seasonal_noise,variance,5.600898549504601e-05,1.4550873215132367e-05,3.849183802714929,0.00011851205760052664,,
covid_decay_rho_080,COVID decay intervention (rho=0.80),covid_decay,0.8,hike_effect,event,-0.022431521940767217,0.026462833285341797,-0.8476613860237109,0.39662657687666036,-2.2181806007018503,2.5875839851010274
covid_decay_rho_080,COVID decay intervention (rho=0.80),covid_decay,0.8,covid_main_effect,event,0.03282371413168978,0.017731648478987873,1.8511372008409772,0.06414981744713408,3.3368354945783,1.8323324419208595
covid_decay_rho_080,COVID decay intervention (rho=0.80),covid_decay,0.8,covid_decay_effect,event,0.02050930860012198,0.02396641906163552,0.8557518979943256,0.3921350270738606,2.072106968324468,2.4463028901069515
covid_decay_rho_080,COVID decay intervention (rho=0.80),covid_decay,0.8,post_stat_change_effect,event,-0.04512748754209772,0.02593099647847627,-1.740291298853682,0.08180788112958576,-4.412438816749212,2.478680712429011
covid_decay_rho_090,COVID decay intervention (rho=0.90),covid_decay,0.9,obs_error,variance,0.000244708167707752,3.8932123015873915e-05,6.285507923828772,3.267834952205252e-10,,
covid_decay_rho_090,COVID decay intervention (rho=0.90),covid_decay,0.9,level_noise,variance,7.277449631484928e-05,1.8100168866387734e-05,4.020652892912647,5.803706725250476e-05,,
covid_decay_rho_090,COVID decay intervention (rho=0.90),covid_decay,0.9,slope_noise,variance,2.816819962992894e-11,1.7830735460827263e-08,0.0015797553439011128,0.9987395381255293,,
covid_decay_rho_090,COVID decay intervention (rho=0.90),covid_decay,0.9,seasonal_noise,variance,5.629630471654517e-05,1.4662771549261388e-05,3.8394040667830636,0.00012333330836691365,,
